id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
,,male,,55.0,3.0,24.0,Groceries,
,29.0,Other,83172.0,51.0,8.0,,Clothing,906.75
,,Other,62024.0,13.0,,,Sports,
619.0,,,88288.0,39.0,,50.0,,
620.0,,,,92.0,,48.0,Sports,
621.0,20.0,Male,,40.0,3.0,,Elec,777.44
622.0,,Other,102269.0,26.0,,,,356.67
,30.0,female,,99.0,4.0,27.0,Clothing,
624.0,59.0,Other,66196.0,37.0,9.0,,Clothing,483.66
625.0,41.0,,,,5.0,,Home & Garden,490.62
,19.0,Male,138008.0,,9.0,15.0,Groceries,
627.0,,,96762.0,,,,Elec,
628.0,,,108744.0,,,23.0,,
,65.0,,84223.0,83.0,,,,
,64.0,,,76.0,,48.0,,49.06
631.0,47.0,,,,7.0,38.0,Groceries,640.55
632.0,29.0,,72125.0,41.0,,,,
,,F,,,6.0,49.0,,886.61
634.0,,Other,143678.0,,,,,916.04
635.0,,female,122669.0,15.0,,,Elec,248.68
636.0,24.0,,93266.0,20.0,,4.0,Clothing,636.29
637.0,,Other,,6.0,,2.0,,704.32
638.0,34.0,F,60489.0,,,,,304.86
639.0,,Male,,70.0,8.0,,Groceries,178.21
640.0,,Male,,,,,,741.41
641.0,59.0,Other,141667.0,,4.0,5.0,,204.25
,,Female,114408.0,38.0,,,,647.35
,,Female,92888.0,,7.0,,,
644.0,54.0,,,,,2.0,Sports,45.2
645.0,67.0,,115578.0,,,,,
,,,113856.0,78.0,,,,
647.0,24.0,Other,,,,4.0,Elec,838.19
,43.0,,,,2.0,,,420.03
,,,,96.0,,,,26.1
650.0,,,,32.0,8.0,,,686.5
,27.0,Female,113174.0,,3.0,46.0,,
652.0,32.0,Other,95862.0,34.0,6.0,,Elec,65.15
,,Male,140959.0,,,14.0,,
654.0,,male,82356.0,97.0,1.0,,Sports,204.55
,,Other,47989.0,,6.0,,,
,,,,,10.0,42.0,,132.6
657.0,27.0,,81110.0,,6.0,,,
658.0,,M,145578.0,,,,Clothing,762.06
659.0,,,,38.0,,11.0,,79.27
,,F,,,4.0,11.0,Sports,138.81
,,,,50.0,4.0,,Sports,
,,,,,,7.0,,
663.0,30.0,female,76658.0,,3.0,32.0,Groceries,
,,Other,,,5.0,6.0,Groceries,725.26
665.0,37.0,male,105623.0,,,47.0,Home & Garden,
666.0,31.0,Other,85972.0,,9.0,,Sports,
,29.0,,,,,,Clothing,30.13
,,,48576.0,29.0,7.0,,,976.83
669.0,,Male,87717.0,79.0,,44.0,Clothing,
670.0,,,,,6.0,31.0,Home & Garden,
671.0,,M,,,,17.0,,
672.0,,,94803.0,,6.0,,Home & Garden,
673.0,,,,36.0,,4.0,Clothing,913.84
,,,41072.0,,5.0,39.0,,981.04
675.0,64.0,,67704.0,,6.0,17.0,,126.15
676.0,,,48169.0,39.0,5.0,33.0,Groceries,451.86
,51.0,,,99.0,,38.0,,808.89
678.0,,,56374.0,,4.0,45.0,,
679.0,46.0,female,112770.0,6.0,10.0,27.0,,559.73
680.0,36.0,Other,,98.0,,,,
,,,,,8.0,22.0,,
,61.0,Male,,,7.0,,Elec,269.2
,27.0,Female,89855.0,54.0,,37.0,,750.51
,42.0,Male,56378.0,,,18.0,,880.45
685.0,37.0,male,,64.0,,49.0,Home & Garden,
,,M,115674.0,78.0,,48.0,,621.73
,59.0,male,,22.0,2.0,,Home & Garden,
,30.0,Male,,,4.0,11.0,Sports,
,,Other,,38.0,5.0,11.0,Clothing,
690.0,,,141586.0,,,46.0,,659.67
691.0,53.0,,84686.0,,,,,109.54
692.0,,,57558.0,,6.0,23.0,,
693.0,28.0,,142450.0,,3.0,22.0,,471.87
,64.0,,,,,28.0,Sports,902.66
695.0,45.0,Male,53474.0,79.0,8.0,21.0,Elec,40.32
696.0,61.0,M,,4.0,9.0,,Groceries,795.49
697.0,,Female,114281.0,99.0,,,Sports,217.78
698.0,,Other,,,4.0,1.0,,612.54
699.0,55.0,Other,53164.0,,,,,932.41
,31.0,male,,,,,,984.15
,31.0,male,148121.0,,9.0,32.0,,753.49
,26.0,,,,9.0,50.0,,
703.0,,,56466.0,61.0,3.0,12.0,Home & Garden,
,,,,,,,,104.35
,,M,,,9.0,35.0,Clothing,400.23
706.0,29.0,,,,,,,258.09
,47.0,female,,42.0,5.0,22.0,,
708.0,,,47482.0,,9.0,,,170.56
709.0,44.0,,118123.0,,,,,140.52
710.0,43.0,female,,67.0,5.0,,Elec,179.71
711.0,,Other,51398.0,12.0,,,Sports,117.85
,18.0,M,,37.0,6.0,28.0,Home & Garden,
713.0,19.0,,76416.0,,6.0,20.0,Elec,
714.0,,Male,100115.0,54.0,,36.0,,789.67
,43.0,Other,,71.0,,35.0,Elec,
,48.0,,74273.0,,10.0,46.0,Sports,
,,,,76.0,,,,
,,,,,,,Home & Garden,623.78
,,F,,,8.0,50.0,Sports,
,69.0,,,,,,Elec,103.11
721.0,27.0,Male,114848.0,66.0,10.0,38.0,,912.58
,,male,127989.0,99.0,1.0,,Home & Garden,
723.0,20.0,,48504.0,,,,,
,,,114762.0,,,7.0,,
,,,108563.0,,8.0,,Clothing,
726.0,40.0,Other,,39.0,9.0,17.0,,347.21
727.0,,Other,,,,49.0,,348.51
,28.0,,53503.0,39.0,,30.0,Groceries,591.64
,,,86985.0,,,,,
730.0,,,85349.0,,8.0,29.0,,
731.0,53.0,,52855.0,12.0,5.0,33.0,Groceries,444.09
732.0,29.0,Other,,,2.0,8.0,,
733.0,,Male,56707.0,6.0,8.0,,Elec,604.53
,23.0,Other,66886.0,7.0,,40.0,Elec,
735.0,38.0,Other,,,,25.0,,
736.0,,Female,130875.0,76.0,10.0,14.0,,979.39
737.0,28.0,,,,,10.0,Clothing,297.17
,18.0,Female,136320.0,,,42.0,,
739.0,,male,,,,17.0,,177.5
740.0,,,119083.0,,4.0,28.0,Elec,
,,,,24.0,3.0,,Elec,121.22
742.0,45.0,,,,7.0,,,144.0
743.0,64.0,,132277.0,81.0,,30.0,Sports,
744.0,56.0,,90816.0,,10.0,,Elec,808.16
745.0,,female,64288.0,,,43.0,Groceries,
746.0,,,34657.0,,10.0,3.0,Elec,983.3
747.0,26.0,,,40.0,,17.0,Groceries,
748.0,,female,58696.0,,4.0,29.0,,570.87
,,,73023.0,,1.0,,Home & Garden,
750.0,41.0,,74985.0,68.0,,,,123.96
,63.0,,,,,46.0,,90.96
,31.0,,85928.0,,2.0,40.0,Home & Garden,34.1
753.0,28.0,,,4.0,,,,
754.0,,,49342.0,,7.0,29.0,Groceries,622.86
,61.0,,,,8.0,,Clothing,
756.0,30.0,Female,111050.0,,,32.0,,213.88
,,Female,,78.0,3.0,,Home & Garden,679.67
758.0,35.0,,,,,,Home & Garden,
,,Other,130443.0,,,,,835.67
760.0,,,,63.0,,,Sports,575.98
,,,,1.0,2.0,,Home & Garden,
,,male,145190.0,42.0,9.0,8.0,,971.83
,,Male,115204.0,,,,,910.59
764.0,,,,,,,Sports,
765.0,40.0,,108344.0,,2.0,,,
766.0,,,74198.0,,1.0,50.0,Clothing,60.51
,45.0,,62582.0,1.0,,,Clothing,
,,Other,92798.0,80.0,,,Groceries,367.85
769.0,19.0,Male,85583.0,,,43.0,,
,61.0,,,,,,Groceries,709.33
771.0,,,,3.0,10.0,43.0,,777.97
,,,79842.0,,9.0,5.0,Clothing,557.41
773.0,,female,,42.0,7.0,12.0,,481.56
774.0,,,,19.0,5.0,50.0,,961.55
,,Male,51225.0,21.0,,,,
776.0,,F,,25.0,,,Groceries,355.67
777.0,19.0,,,,,43.0,,
,,,,83.0,7.0,,Sports,270.15
779.0,56.0,,43031.0,,2.0,,,830.79
780.0,,,80686.0,,,,,491.8
,,Male,,10.0,2.0,38.0,Home & Garden,866.3
,22.0,,118840.0,32.0,9.0,9.0,,819.14
,39.0,Other,,,,35.0,Clothing,
,,Other,64229.0,,,,,
785.0,,,88366.0,22.0,,,Elec,
,,male,43192.0,,1.0,,,
787.0,,Other,56547.0,,10.0,43.0,,686.83
,33.0,male,,,8.0,22.0,Home & Garden,223.73
789.0,,,,77.0,,,,
790.0,,Male,96409.0,66.0,1.0,32.0,Sports,674.93
,,,97756.0,89.0,6.0,3.0,Home & Garden,318.74
792.0,18.0,Other,140475.0,,,7.0,Sports,
793.0,,,,26.0,,,,386.51
,50.0,,103921.0,58.0,,,Elec,687.32
,,female,,,4.0,,,990.34
796.0,,,92114.0,,7.0,,Home & Garden,997.15
797.0,47.0,male,86651.0,54.0,,,,678.41
,,Other,44597.0,3.0,,,,
799.0,25.0,,107042.0,,,,,648.79
,,,,,,15.0,,333.55
801.0,,,,33.0,,,,165.39
,51.0,,,,3.0,42.0,,
803.0,64.0,Male,,72.0,,,Groceries,
804.0,59.0,F,58656.0,47.0,6.0,6.0,,
,,,,,,,,
,49.0,male,69864.0,,,,,522.78
807.0,24.0,male,,,,28.0,Clothing,
,,,127302.0,,1.0,40.0,,
809.0,,,91845.0,35.0,,,Elec,
810.0,,,,,7.0,40.0,Elec,
811.0,27.0,female,,,5.0,,,117.03
812.0,53.0,,,,,35.0,Home & Garden,701.61
813.0,19.0,male,68304.0,9.0,,28.0,Sports,
,56.0,Other,,,10.0,,,849.56
815.0,53.0,,58486.0,,8.0,23.0,Home & Garden,
816.0,,,,,,28.0,,
,,female,,87.0,,50.0,,
818.0,69.0,Male,129445.0,,3.0,,Home & Garden,
819.0,46.0,Other,58692.0,,9.0,,Home & Garden,230.66
,52.0,Other,73723.0,69.0,10.0,,Sports,
821.0,41.0,Other,37547.0,,,24.0,Groceries,
,,Female,34901.0,31.0,,9.0,,
,,,85068.0,54.0,,24.0,,846.68
824.0,38.0,F,81244.0,,5.0,,,301.59
825.0,30.0,F,,16.0,,2.0,,
826.0,,,111795.0,,9.0,,,116.19
,,Other,,,,,Sports,921.21
828.0,,Male,43316.0,72.0,,13.0,Elec,
829.0,37.0,,,,,40.0,Home & Garden,
,,,,,,17.0,Home & Garden,
831.0,,,,26.0,,33.0,Home & Garden,836.5
832.0,69.0,,,22.0,1.0,3.0,,839.2
,43.0,,85487.0,71.0,7.0,49.0,,625.26
834.0,,M,101111.0,98.0,8.0,35.0,,
,41.0,F,,,2.0,33.0,,
836.0,30.0,,42089.0,,3.0,,,
,69.0,female,106629.0,,7.0,9.0,Groceries,443.22
838.0,,,98928.0,,,,Elec,
839.0,43.0,,90687.0,,5.0,,,531.25
,,Female,68764.0,96.0,,,,
841.0,,,,64.0,6.0,15.0,,
842.0,33.0,Female,96916.0,23.0,6.0,12.0,,
,,,149578.0,,2.0,,,839.34
,43.0,,140638.0,,10.0,18.0,Home & Garden,
845.0,,,,,,15.0,,
846.0,60.0,,61376.0,,8.0,,Elec,793.84
,22.0,,,47.0,,49.0,Groceries,
848.0,,,,31.0,,14.0,,
849.0,,Female,,87.0,7.0,,,
850.0,48.0,female,126398.0,19.0,1.0,18.0,,311.08
851.0,,,59566.0,25.0,,22.0,,
852.0,64.0,,63123.0,88.0,,,Groceries,330.95
,,Other,120644.0,,,,,456.11
,27.0,,40595.0,84.0,6.0,15.0,,
,18.0,Male,,,2.0,,,739.27
856.0,,Other,135627.0,67.0,,46.0,,
,,Female,,75.0,,,Home & Garden,
858.0,67.0,M,,,,6.0,Clothing,
,,Male,,20.0,,,,469.36
860.0,,,46866.0,,,46.0,Elec,737.44
,21.0,,,,,25.0,,
862.0,,Male,79899.0,64.0,7.0,,,129.9
,,Other,77292.0,,,,Groceries,787.66
,,,92371.0,,,48.0,,
,57.0,Other,106632.0,,1.0,17.0,Groceries,
866.0,,,48068.0,57.0,2.0,,Elec,683.02
867.0,68.0,,,,,33.0,,
,,Other,83467.0,83.0,,,,30.88
869.0,,,61376.0,47.0,5.0,16.0,Home & Garden,241.25
,57.0,,112212.0,,,,,312.64
,,female,,86.0,,40.0,,
,,,,18.0,9.0,31.0,,
,,,,54.0,,,,484.72
,35.0,Male,121037.0,,1.0,,Groceries,304.08
,,,76606.0,,,32.0,,472.4
876.0,,Other,,,9.0,,,
877.0,51.0,,,,,45.0,,
878.0,,,,61.0,5.0,41.0,,246.41
,,Male,,,,,,863.54
,,,97355.0,63.0,2.0,22.0,Groceries,329.18
,,Female,,,,,Groceries,
882.0,61.0,,49557.0,,6.0,,,678.13
,62.0,,97909.0,100.0,1.0,5.0,,439.63
884.0,,,,,,6.0,Clothing,241.99
885.0,58.0,,,,,23.0,,
886.0,,Other,,70.0,7.0,,,
,,Male,98882.0,,,,,940.14
,,,,,2.0,19.0,Groceries,
,,,,92.0,,,Sports,486.86
,,,,,3.0,31.0,Clothing,
,,,87909.0,,,,Sports,
892.0,66.0,,,5.0,1.0,48.0,Sports,
,,,,,5.0,,Home & Garden,
,63.0,Other,,,8.0,,Sports,758.1
,,Male,128640.0,3.0,5.0,2.0,Home & Garden,
,,M,137307.0,34.0,,26.0,Sports,952.12
,,M,,,9.0,,Elec,
,,,82140.0,,3.0,,,97.97
,48.0,,134463.0,,,7.0,,535.1
900.0,,,41544.0,1.0,10.0,46.0,Home & Garden,720.52
,,Female,135440.0,46.0,8.0,3.0,,
902.0,,,,,,6.0,Home & Garden,
903.0,,,106771.0,,,,Sports,
,64.0,,,,2.0,5.0,,344.59
,,,139658.0,77.0,,,,
906.0,25.0,M,,,4.0,41.0,Elec,
907.0,,Other,113706.0,19.0,,13.0,Home & Garden,427.68
908.0,,,,27.0,8.0,,Sports,
,,,89618.0,49.0,,12.0,,831.05
,,Other,,,,30.0,Groceries,628.34
911.0,66.0,,,93.0,3.0,19.0,Elec,684.88
912.0,54.0,,,,,,,
913.0,38.0,male,,,,22.0,Elec,99.63
914.0,55.0,,109314.0,,10.0,,Elec,438.97
,,Other,69502.0,83.0,6.0,,Sports,
,,Male,,23.0,,22.0,,844.88
,49.0,,30523.0,,,,Elec,
,,female,,74.0,6.0,19.0,Groceries,
919.0,28.0,Other,57107.0,82.0,5.0,2.0,Home & Garden,
,60.0,,,84.0,,,,
921.0,66.0,male,,,,,Home & Garden,
,58.0,Male,105157.0,,,,Clothing,
,,male,,,4.0,,,
924.0,,male,,,2.0,28.0,,
,53.0,,32539.0,22.0,,42.0,,536.06
,39.0,Female,53091.0,41.0,9.0,3.0,,12.45
,46.0,Other,46368.0,,7.0,,,
928.0,,Male,134592.0,,10.0,,,557.04
,35.0,,48768.0,43.0,,,Elec,
930.0,42.0,,128064.0,8.0,8.0,,Groceries,
931.0,59.0,,48329.0,6.0,8.0,,,36.76
932.0,,,,32.0,9.0,11.0,,
,,,,,3.0,24.0,Elec,
,,M,,53.0,2.0,38.0,,129.08
935.0,,,129592.0,2.0,,,Clothing,748.46
,,,,17.0,1.0,,Home & Garden,
937.0,43.0,,,,1.0,,,106.48
938.0,64.0,Other,65498.0,,,,Clothing,
939.0,37.0,Male,70213.0,,3.0,,,
940.0,56.0,,,30.0,,25.0,,
941.0,54.0,,33706.0,64.0,,,Clothing,371.93
,36.0,M,,,7.0,21.0,,
943.0,54.0,Female,140081.0,,1.0,25.0,,
,,,37014.0,,,34.0,Elec,
945.0,65.0,,,,,38.0,,594.92
946.0,,Male,,80.0,,37.0,,
947.0,,,111493.0,40.0,10.0,8.0,Groceries,
948.0,,,117520.0,,,,,
949.0,,,128667.0,,,,Sports,150.62
950.0,,,114390.0,38.0,,,,
,,Other,134487.0,,10.0,,Elec,556.1
,,,,,,,,915.62
953.0,,,104830.0,43.0,,36.0,,
,,male,,,4.0,,Elec,
,30.0,M,,89.0,,22.0,,
,60.0,Other,,,,,Groceries,
,,,564290.0,,,,,
,26.0,F,41126.0,,9.0,,,100.64
959.0,,Female,99054.0,,,,Groceries,174.22
960.0,,,50349.0,76.0,9.0,42.0,,957.5
961.0,,,60808.0,96.0,,12.0,Home & Garden,
,60.0,Male,,71.0,,,Groceries,
963.0,66.0,,72885.0,1.0,,33.0,,
964.0,,Other,,,2.0,44.0,,660.05
965.0,49.0,,,,10.0,,,
966.0,58.0,Other,133888.0,,,14.0,,
967.0,,,67361.0,,,,Sports,
968.0,,Female,,16.0,,42.0,,
969.0,61.0,Other,,79.0,,,,724.23
,,,40471.0,,3.0,33.0,,40.89
971.0,,F,51913.0,,,21.0,Home & Garden,
,,,120294.0,,5.0,44.0,Clothing,942.03
,43.0,M,130645.0,34.0,,5.0,Groceries,833.69
974.0,48.0,,,84.0,,41.0,,711.37
975.0,49.0,Female,79546.0,26.0,5.0,12.0,Home & Garden,
,,,54930.0,,9.0,,,724.88
,,M,,,,,Groceries,
,,,,,,,,253.13
979.0,,,,100.0,,17.0,,
,45.0,F,135047.0,,,,,
981.0,30.0,M,117373.0,,,49.0,,
,59.0,Other,87884.0,,,28.0,Groceries,
983.0,,F,117203.0,,7.0,,Elec,363.94
,51.0,,,,9.0,,,990.87
985.0,35.0,Other,82057.0,,4.0,9.0,Sports,
,66.0,,78149.0,,,9.0,,
,22.0,Male,80049.0,,,,,16.97
988.0,,male,,78.0,5.0,14.0,Groceries,
989.0,26.0,,,,,32.0,Home & Garden,750.58
,31.0,Other,45695.0,,,31.0,Elec,864.67
991.0,21.0,,,,,,Sports,458.93
992.0,,,83578.0,97.0,,50.0,,
,22.0,,,,,,Home & Garden,139.75
994.0,29.0,F,64799.0,42.0,,,Elec,967.26
,,,,,,40.0,,986.97
996.0,57.0,,112170.0,,6.0,1.0,Clothing,313.64
,,Other,65337.0,,10.0,,,
998.0,23.0,,,,,42.0,Sports,
,22.0,Female,,63.0,,,Elec,505.16
,36.0,,90420.0,,,31.0,Groceries,
